source,target,edge_type,content
0,1,posted_in_channel,Project Submission Question
0,0,replied_to,I'm feeling better so I'll be in at around 11:30
0,2,replied_to,Nope
0,3,replied_to,Will there be any TAs today?
0,4,replied_to,"Yes, see the <#1148663286267641906> for specific hours the TAs plan on working"
0,5,replied_to,"I think I fixed all affected grades, reach out if there was a problem with yours"
0,6,replied_to,"I will do a grade merge tomorrow morning, if your grade is not in by end of day send me a DM with your netid and GitHub username"
0,7,replied_to,"Zoom has issues with copy and paste from time to time, try manually typing it in"
0,8,replied_to,"Cool, I assume people who had already taken the exam will have that accounted for later?"
0,9,replied_to,"Up to you, I used a dictionary"
0,10,replied_to,"A <-> B
Is the same as
(A->B) ^ (B -> A)"
0,11,replied_to,You will not be required to show the error state unless otherwise stated in the question
0,12,replied_to,"This, 100%"
0,13,replied_to,Check the <#1146860399384338483>  channel
0,14,posted_in_thread,"Yes there will be a final

Current plan for it is to be weighted towards the second half of the content"
0,15,posted_in_thread,The sand
0,16,posted_in_thread,"Do you mean like this:
```
1. a v b v c v d v e v f v g
2. not a
therefore: b v c v d v e v f v g
```
?"
0,17,posted_in_thread,"Unfortunately no, if you submit it tommorow it would be subject to the standard late penalty"
0,18,posted_in_thread,Shoot me a dm and we can get it figured out. The auto grader pulls the date from your most recent submission to calculate what your grade is
0,19,posted_in_thread,it is also pinned int the <#1148662249871908874> channel
0,20,posted_in_thread,"I will record one of them, but I make no guarantees about the quality of the recording"
0,21,posted_in_thread,"Yeah, got that fixed 😅"
0,22,posted_in_thread,Additionally I have found this site to be really good: https://madeby<Person>.com/fsm/
0,23,posted_in_thread,"yes, for the 1pm section
https://discord.com/channels/1049410982167974018/1148662249871908874/1151927330621636638"
0,24,posted_in_thread,yes
0,25,posted_in_thread,I recommend starting ASAP
0,26,posted_in_thread,Textbook pdf
0,27,posted_in_thread,should be at the top of the <#1148662249871908874> channel
0,28,posted_in_thread,"Yes, your edit is completely correct"
0,29,posted_in_channel,The project1 guide pdf available on the
0,30,replied_to,"That document is out of date, the same pseudocode is available on the after class slides for December the 1st"
0,31,replied_to,"say our graph has 2 edges with weights
a->b: 5
b->a: 4

the graph would be

V = {a, b}
E = {(a,b), (b,a)}
w = {((a,b), 5), ((b,a), 4)}"
0,32,posted_in_thread,"An id is any string BUT a keyword. So if the string is
'Rules' then it is a keyword, but any variation on it makes it an id 'Rules1'"
0,33,posted_in_thread,A string tokens line number is the line it starts on
0,34,posted_in_thread,"Follow this guide:
https://discord.com/channels/1049410982167974018/1148662249871908874/1153838202172477500

No need to meet with a TA"
0,35,posted_in_thread,"Yes, the Rules, Schemes, Facts, and Queries Tokens are case sensitive"
0,36,posted_in_thread,"For a more specific answer, and FSM CAN count the number of occurrences of a specific character. 

You would ""announce"" a newline character each time you saw one. However an FSA cannot.

This is more of a hack but it useful and has some real applications.

There is something called a Pushdown Automaton. It contains a Stack in addition to the state machine. That would represent a more general and powerful machine. The topic is not covered in this class but is in cs 252."
0,37,posted_in_thread,You are always safe to delete whitespace if you have handled all the tokens before the whitespace
0,38,posted_in_thread,"Your program will output an error message 

Details on what the message looks like are on LS ->  Content -> Projects -> Project 1"
0,39,posted_in_thread,Yes
0,40,posted_in_thread,Up to you on this one. I put a lot of the simple FSA's into one file.
0,41,posted_in_thread,"2 options:
1
```
Use your diagram to encode the ID FSA to exclude RULES, FACTS, QUERIES, and SCHEMES as IDs
```
2
```
Add a condition in somewhere where if the ID FSA and the FACTS, SCHEMES, RULES, or QUERIES FSA both announce that they accept preference the keyword FSA
```"
0,42,posted_in_thread,For anyone experiencing a similar issue make sure that you are in the same directory as the code when you run the commands as well
0,43,posted_in_thread,Yes you are good to just pull the change and commit like usuaul
0,44,posted_in_thread,The notebook is providing code for parallel and max
0,45,posted_in_thread,A newline character does not make a string undefined
0,46,posted_in_thread,Yes that is outdated
0,47,posted_in_channel,"Hi everyone, would you (hypothetically) attend a review session for lab 2?"
0,48,replied_to,"So，I just saw this message, can I still submit in learning suite and show the TA the time I submitted to receive full credit?"
0,49,replied_to,Have you tested using pytest?
0,50,replied_to,"Github is setup for submissions, you will need to do a bit of digging to figure out why it failed. Check the actions tab to see which tests passed/failed.

Also make sure when you test locally you used the provided test.py file and pytest"
0,51,posted_in_thread,Looks like a runtime exception
0,52,posted_in_thread,It will be used in project 3 so I reccomend putting it in it's own file
0,53,posted_in_thread,"The message is indicating that the object of type ""str"" does not have the method to_string"
0,54,posted_in_thread,How is it different
0,55,posted_in_thread,"Yeah, sorry"
0,56,posted_in_thread,You should know everything you need to to start
0,57,posted_in_thread,"Overview, essentially a ""how to start"" guide"
0,58,posted_in_channel,Lab sessions time
0,59,replied_to,"Formally, it should return a new relation with all the same rows and the new header, it should also check to make sure the old and new headers are the same length"
0,60,replied_to,"Can you send that to cs236ta@cs.byu.edu

Also cc prof. Goodrich so we can get things sorted"
0,61,replied_to,yes
0,62,replied_to,"you will not, I made that choice to avoid conflation between pythons built-in tuple class and our own row class"
0,63,replied_to,Best of luck! Hope it goes well and she makes a quick recovery 💌
0,64,replied_to,"If you are going to paste code into discord please wrap the code in triple backtick character so it shows as a block like this:
```
Code here
```"
0,65,replied_to,<@534453897956163604> what are your thoughts on this?
0,66,replied_to,If a rule depends on itself it should be run using the fixed point style
0,67,posted_in_thread,"Deliberately throw an error the same way we did you the add_tuple function 

Example:
```
if index < 0:
  raise ValueError(""index is too low"")
```"
0,68,posted_in_thread,"You will need to inspect the code and determine if the relations you create make sense. Each test does include cases where I expect your code to error, those are marked by the ""try-except"" blocks"
0,69,posted_in_thread,the answer file is correct
0,70,posted_in_thread,"What is the command you are using to run pytest, those sound like unrelated, seperate problems"
0,71,posted_in_thread,"A row should contain a list of strings

A header should contain a list of strings

A Predicate has 2  fields, a name and a list of parameters

You should have a way to convert a 'scheme' Predicate into a relation

A 'fact' Predicate will become a row

A Query Predicate will be evaluated and use one of the relations from the database into a new relation using select, project, and rename"
0,72,posted_in_thread,Excellent summary
0,73,posted_in_thread,Which case is it failing? Which token? Which function is failing?
0,74,posted_in_thread,"```
relation_refrence = self.database[predicate.name]
# the above code would make a refrence, any changes to it would be changing the database as well (which is bad)

relation_copy = copy.deepcopy(self.database[predicate.name])

#this would make a copy of the relation, any changes would NOT impact the original database

#remember to add 'import copy' to the top of the file
```"
0,75,posted_in_thread,You will need to manually do the operations and compare the output to make sure that they match
0,76,posted_in_thread,Yup
0,77,posted_in_thread,Moving stuff here
0,78,posted_in_channel,"I will be holding project4 review sessions next week at the following times:
Monday: 12-1
Tuesday: 11-12
Wednesday: 3-4

Similar to last time, I will be recording the Monday session and posting it."
0,79,replied_to,seems like a reflexive reaction
0,80,replied_to,"Yes, that is one of the listed assumptions on learningsuite"
0,81,replied_to,"nope, so long as it passed"
0,82,replied_to,Can we turn in 5a multiple times on learningsuite?
0,83,replied_to,I thought this was in the room where class normally is but I guess not. Where are the help sessions?
0,84,replied_to,"yes, I didn't bring my charger and couldn't record todays session, I will record post tuesdays session"
0,85,posted_in_thread,What header are you using for your output
0,86,posted_in_thread,Have you run into a case where that happens?
0,87,posted_in_thread,Are you printing the tuples are you add them?
0,88,posted_in_thread,I would suggest moving the code to print out the unique tuples to evaluate rule function. This is a good approach since the function will be reused in project 5 and we expect it to produce the same output.
0,89,posted_in_thread,You may find the set difference operation to be helpful
0,90,posted_in_thread,Pass through one of the tests that's failing by hand
0,91,posted_in_channel,"Some things to be aware of:

There will not be a lab session for this project, and you must complete it in 2 parts.

5a is entirely written. After finishing it you may turn it in on learningsuite. If you want more immediate feedback, come into the TA lab to get it graded by hand. You can do this as many times as needed to get full credit.

5b is writing code to perform the same computation. This project will not be accepted late, becuase it is due the last day of classes. If you do not get it turned in on or before the due date you will not get credit."
0,92,replied_to,It should be fine
0,93,replied_to,Is that supposed to say ```if scc not is self dependent?```
0,94,replied_to,"I'm on til 12, I cannot check your work but I can help clarify if you have the right idea or approach"
0,95,replied_to,Wouldn’t any SCC of size 1 be self dependent?
0,96,replied_to,"25 points per question, standard late\early policy"
0,97,replied_to,"9, becuse there are 9 rules and our graph should show the dependancies between the rules"
0,98,replied_to,Recursion is the recommended approach
0,99,replied_to,"Do late points count the same for project 5a (2 points per day), or is Friday night a hard deadline like for homework?"
0,100,replied_to,"Correct, the A stands for acyclic meaning no cycles"
0,101,replied_to,"This is mentioned in the specs, there in general run the fixed point algorithm till no more tuples are added.

There is one edge case for some sccs of size 1 (these should only be read once) review the specs then come back if you still have questions"
0,102,replied_to,Can you guys pin this message.
0,103,posted_in_thread,I'd suggest consulting the specs again. This particular edge case is addressed in there repeatedly
0,104,posted_in_thread,I think the largest scc is like size 10 in the cases
0,105,posted_in_channel,Exam format
0,106,replied_to,Will do!
0,107,posted_in_thread,You may look at your notes when working on the prep exam.
0,108,posted_in_thread,"In the past they have been online, but I have not confirmed what our plans for this semester are. I'll bring it up in our next meeting"
0,109,posted_in_thread,"Yes, send a copy to cs236ta@cs.byu.edu"
0,110,posted_in_channel,Will the second attempt of any homework
0,111,replied_to,"Do questions 1, 2, and 3

Ignore the pdf"
0,112,posted_in_thread,"I used the following property:

```
k!(k+1) == (k+1)!
```"
0,113,posted_in_thread,"A natural join is always possible. It has 3 cases

1: all attributes match (perform an intersection)

2: no attributes match (perform a cross product)

3: some attributes match (perform a cross product on tuples preserving the context of the matching attributes)"
0,114,posted_in_thread,"Y blue, X yellow"
0,115,posted_in_thread,I think I updated the question to be more clear
0,116,posted_in_thread,You need to show all possible options for the states of the premises
0,117,posted_in_thread,"The second, you need to prove that no matter what values of P and Q the statment is true."
0,118,posted_in_thread,the first set would just be {A} becuase it is the the only possible first terminal symbol produced by <a>
0,119,posted_in_thread,For hw8 the grammar is in the project 2 description
0,120,posted_in_thread,It is a topic of some contention. We will give full credit either way
0,121,posted_in_thread,"This is our prefered format, we will however be lenient on style provided your content is correct"
0,122,posted_in_thread,"I think no, only first sets come up here"
0,123,posted_in_thread,Only do the problems listed in the description. Do not complete ANY of the problems on the linked pdf. They are a hold-over from previous semesters
0,124,posted_in_thread,no
0,125,posted_in_thread,This notation is fine from a grading standpoint
0,126,posted_in_thread,Line numbers are project related and not rel<Person>t to the diagram
0,127,posted_in_thread,"Yes, we encourage it"
0,128,posted_in_thread,"Try only using the symbols we use in class
An equivalent conversion for that would be
```
(N U λ)
```"
0,129,posted_in_thread,Yes it is allowed just make it clear to us what you mean. I will send an example in a moment
0,130,posted_in_thread,"Good catch, I think you are correct, let me reach out to the Prof. to see if we are missing something/get the problem corrected"
0,131,posted_in_thread,I usually graph the function
0,132,posted_in_thread,"Yes, that is how the homeworks are currently configured"
0,133,posted_in_thread,I am 90% sure the answer is no <@534453897956163604>  can you confirm?
0,134,posted_in_thread,Hi <Person>!
0,135,posted_in_channel,"If anyone is interested I am putting together a DnD campain. We will be playing B/X Old School Essentials and plan on meeting every other Tuesday (session 0/1 would be on the 7th). 

No prior experiance is required or expected.

If you are interested please reach out to me over dm!"
0,136,posted_in_channel,Github ssh keys
0,137,posted_in_thread,You need to make an ssh key pair and register it with github
0,138,posted_in_thread,"This should have populated after you setup the classroom, let me investigate and get back to you"
0,139,posted_in_thread,"Specifically the files you CANNOT change are the ones related to testing. 
So the test cases and test scripts"
0,140,posted_in_thread,https://www.computerhope.com/issues/ch000549.htm
0,141,posted_in_thread,taking a look
0,142,posted_in_thread,it is NOT a requirement
0,143,posted_in_thread,You need to add python your path variables
0,144,posted_in_thread,"You can also call ""git add ."" To add all files to the commit"
0,145,posted_in_channel,"@everyone
The project passoff guide is now complete. For the instructions see
```
LearningSuite -> Content -> Projects -> Project Passoff Procedures
```"
0,146,posted_in_thread,"Link to a pdf students may find helpful:
https://discord.com/channels/1049410982167974018/1049410982167974021/1159889247969488978"
0,147,posted_in_thread,"This will be held in the TA lab, unless we are able to get a larger space"
0,148,replied_to,"I just ended my shift, sorry"
0,149,posted_in_channel,Hours chat
0,150,replied_to,"I don't think so, I'll be holding hours tomorrow from 11-5"
0,151,posted_in_thread,check the schedule please.
0,152,posted_in_thread,"We will be starting project 1, and the TAs and Prof. Will be on hand to help answer questions and get you some momentum on starting the project"
0,153,posted_in_thread,"Yes, cs236ta@cs.byu.edu"
0,154,posted_in_thread,I can pick up 5 more hours.
0,155,posted_in_thread,For Friday?
0,156,replied_to,I was able to open their prep-exam
0,157,posted_in_channel,I was able to open their prep-exam
80,29,posted_in_channel,"What is the best way to handle tokens of variable length (IDs, strings & comments)? It's easy to truncate fixed-length tokens from the file string after detection. My current plan is to add an extra output to my FSAs saying how many characters are included"
80,158,replied_to,"when you say output, do you mean an additional return object? cause you can also just make it an fsa class variable and add a getter function"
80,159,replied_to,"That's not an issue with your code, something is up on the github end"
80,160,replied_to,"I don't know if you ever got this fixed, but I think I fixed it by adding a + ""\n"" to the end of my final output string. If you go in and look at the provided answers you'll see that there's an infernal extra space below every one."
80,8,replied_to,"If a function has elements in its domain that are unmapped it would still be a function (assuming no inputs lead to 2+ outputs). I think that makes it a partial function. Injective doesn't have anything to do with all the domain elements being mapped so it is still injective. Injective just says that for the inputs that are mapped, if the inputs are unique then their outputs should also be unique."
80,58,posted_in_channel,Why are we making a Header class? So far it seems to me that its functionality is already described by Tuple
80,78,posted_in_channel,"Can we assume every ID on the left hand side of a rule is somewhere on the right as well? e.g, X never happens:
```lhs(a,b,X):-rh1(a),rh2(b)```"
80,105,posted_in_channel,"What is the order of operations for relational algebra operations? e.g, if I have ρR×S do I treat it like ρ(R×S) or (ρR)×S?"
80,110,posted_in_channel,I think I found a typo on HW3 (RegEx/FSM). Am I wrong about this?
80,161,replied_to,I hope so! That’s how I’ve done everything.
80,130,posted_in_thread,"I believe this is the intended answer for problem 7, the other options are further from correct"
162,29,posted_in_channel,"I pushed my code to Github, but it didn't automatically autograde--anyone know how to fix this?"
162,163,replied_to,"Just got it, thanks!"
162,78,posted_in_channel,"I hope this is the right place for this... I turned this project in pretty late, but I also had a three-day extension that wasn't reflected in my grade. I emailed cs236ta@cs.byu.edu, but haven't heard back yet... could anyone follow up on that?"
162,164,replied_to,one moment
162,165,posted_in_thread,Same.
7,1,posted_in_channel,Will there still be TA's available Mon-Wed this week?
7,29,posted_in_channel,"On Jupyter notebooks, this example code line ""my_left_paren_fsa: LeftParenFSA = LeftParenFSA(name = ""LPAREN FSA"")"" has the error LeftParenFSA is not defined. Why is that? Will that be a problem when we run our code? And how can it be fixed?"
