node,type,value
530,person,TA
0,person,TA
80,person,Student
531,person,Student
162,person,Student
7,person,Student
532,person,Student
533,person,Student
534,person,Student
535,person,Student
536,person,Student
537,person,Student
538,person,Student
539,person,Student
170,person,Student
158,person,Student
97,person,Student
172,person,Student
540,person,Student
173,person,Student
541,person,Student
65,person,Student
4,person,Student
179,person,TA
542,person,Student
543,person,Student
544,person,Student
99,person,Student
545,person,Student
181,person,Student
183,person,Student
185,person,Student
546,person,Student
547,person,Student
186,person,Student
548,person,Student
48,person,Student
190,person,Student
549,person,Student
210,person,Student
550,person,Student
156,person,TA
244,person,Student
551,person,Student
552,person,Student
246,person,Student
553,person,Student
554,person,Student
64,person,Student
93,person,Student
251,person,Student
555,person,Student
556,person,Student
176,person,Student
84,person,Student
272,person,Student
557,person,Student
558,person,Student
559,person,Student
275,person,Student
279,person,Student
560,person,Student
280,person,Student
561,person,Student
281,person,Student
184,person,Student
562,person,Student
563,person,Student
283,person,Student
285,person,Student
286,person,Student
287,person,Student
247,person,Student
564,person,Student
293,person,Student
169,person,TA
565,person,Student
167,person,Student
566,person,Student
319,person,Student
266,person,Student
567,person,Student
320,person,Student
171,person,TA
568,person,Student
569,person,Student
570,person,Student
8,person,Student
9,person,Student
571,person,Student
572,person,Student
159,person,Student
215,person,Student
573,person,Student
349,person,Student
574,person,Student
81,person,Student
354,person,Student
575,person,Student
83,person,Student
576,person,Student
226,person,Student
13,person,Student
577,person,Student
206,person,Student
360,person,Student
2,person,Student
338,person,Student
578,person,Student
362,person,Student
219,person,Student
579,person,Student
580,person,Student
60,person,Student
100,person,Student
12,person,Student
344,person,Student
581,person,Student
582,person,Student
329,person,Student
265,person,Student
30,person,Student
426,person,Student
583,person,Student
427,person,Student
584,person,Student
326,person,Student
49,person,Student
429,person,Student
585,person,Student
343,person,Student
235,person,Student
586,person,Student
587,person,Student
430,person,Student
588,person,Student
255,person,Student
96,person,Student
432,person,Student
433,person,Student
345,person,Student
589,person,Student
59,person,Student
254,person,Student
438,person,Student
62,person,Student
590,person,Student
